"the_geom","OBJECTID_1","PARK","PARK_NO","FACILITY_N","FACILITY_T","X_COORD","Y_COORD","GISOBJID"
"POINT (-87.60761246782954 41.863669768691054)","2,802","NORTHERLY ISLAND","34","BEACH","OUTDOOR","-87.60761247","41.86366977","3,446"
"POINT (-87.79284541267293 41.9855959977843)","2,803","NORWOOD","141","BASKETBALL COURT","OUTDOOR","-87.79284541","41.985596","3,447"
"POINT (-87.79202763887409 41.98666993858931)","2,804","NORWOOD","141","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.79202764","41.98666994","3,448"
"POINT (-87.79368924056975 41.98680424574381)","2,805","NORWOOD","141","FITNESS CENTER","INDOOR","-87.79368924","41.98680425","3,449"
"POINT (-87.79350983721903 41.986428815872)","2,806","NORWOOD","141","GYMNASIUM","INDOOR","-87.79350984","41.98642882","3,450"
"POINT (-87.79161183804602 41.98643394445135)","2,807","NORWOOD","141","BASEBALL JR/SOFTBALL","OUTDOOR","-87.79161184","41.98643394","3,451"
"POINT (-87.79216407256897 41.98706296765646)","2,808","NORWOOD","141","BASEBALL JR/SOFTBALL","OUTDOOR","-87.79216407","41.98706297","3,452"
"POINT (-87.79305444852626 41.98726781106953)","2,809","NORWOOD","141","BASEBALL JR/SOFTBALL","OUTDOOR","-87.79305445","41.98726781","3,453"
"POINT (-87.79337796646722 41.98701974462546)","2,810","NORWOOD","141","POOL (OUTDOOR)","OUTDOOR","-87.79337797","41.98701974","3,454"
"POINT (-87.79404309703443 41.987487790906634)","2,811","NORWOOD","141","PLAYGROUND","OUTDOOR","-87.7940431","41.98748779","3,455"
"POINT (-87.79334381720908 41.985672232023546)","2,812","NORWOOD","141","SPORT ROLLER COURT","OUTDOOR","-87.79334382","41.98567223","3,456"
"POINT (-87.79264574578045 41.98595432311649)","2,813","NORWOOD","141","BASEBALL SR","OUTDOOR","-87.79264575","41.98595432","3,457"
"POINT (-87.79316454645492 41.98588335729201)","2,814","NORWOOD","141","TENNIS COURT","OUTDOOR","-87.79316455","41.98588336","3,460"
"POINT (-87.79300027601556 41.985916841658145)","2,815","NORWOOD","141","TENNIS COURT","OUTDOOR","-87.79300028","41.98591684","3,461"
"POINT (-87.79218208132201 41.98648557303788)","2,816","NORWOOD","141","TRACK","OUTDOOR","-87.79218208","41.98648557","3,462"
"POINT (-87.79317524731346 41.98694538280229)","2,817","NORWOOD","141","WATER SLIDE","OUTDOOR","-87.79317525","41.98694538","3,463"
"POINT (-87.64957332473577 41.71995482448123)","2,818","OAKDALE","235","BASKETBALL COURT","OUTDOOR","-87.64957332","41.71995482","3,464"
"POINT (-87.64854748884412 41.72059118600142)","2,819","OAKDALE","235","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.64854749","41.72059119","3,465"
"POINT (-87.6489981911258 41.720995200815075)","2,820","OAKDALE","235","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64899819","41.7209952","3,466"
"POINT (-87.64806775362476 41.720910235553596)","2,821","OAKDALE","235","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64806775","41.72091024","3,467"
"POINT (-87.64806392979887 41.72020111010177)","2,822","OAKDALE","235","BASEBALL JR/SOFTBALL","OUTDOOR","-87.64806393","41.72020111","3,468"
"POINT (-87.64922159632336 41.719564143111256)","2,823","OAKDALE","235","POOL (OUTDOOR)","OUTDOOR","-87.6492216","41.71956414","3,469"
"POINT (-87.64769890482107 41.71963732334552)","2,824","OAKDALE","235","PLAYGROUND","OUTDOOR","-87.6476989","41.71963732","3,470"
"POINT (-87.64823985719825 41.71967742335308)","2,825","OAKDALE","235","SPRAY FEATURE","OUTDOOR","-87.64823986","41.71967742","3,471"
"POINT (-87.64913806158624 41.720301112720946)","2,826","OAKDALE","235","BASEBALL SR","OUTDOOR","-87.64913806","41.72030111","3,472"
"POINT (-87.68064770378216 41.77633129165828)","2,827","OAKLEY","1,137","PLAYGROUND","OUTDOOR","-87.6806477","41.77633129","3,473"
"POINT (-87.65822900420507 41.777405117542976)","2,828","OGDEN (WILLIAM)","8","BASKETBALL COURT","OUTDOOR","-87.658229","41.77740512","3,474"
"POINT (-87.65799920439156 41.77741093286338)","2,829","OGDEN (WILLIAM)","8","BASKETBALL COURT","OUTDOOR","-87.6579992","41.77741093","3,475"
"POINT (-87.65712296738253 41.77409033780129)","2,830","OGDEN (WILLIAM)","8","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.65712297","41.77409034","3,476"
"POINT (-87.65717783726078 41.776113491531376)","2,831","OGDEN (WILLIAM)","8","FOOTBALL/SOCCER COMBO FLD","OUTDOOR","-87.65717784","41.77611349","3,477"
